역명,도로명주소
까치산,서울특별시 강서구 강서로 지하54(화곡동)
신정,서울특별시 양천구 오목로 지하179(신정동)
목동,서울특별시 양천구 오목로 지하245(목동)
오목교,서울특별시 양천구 오목로 지하342(목동)
양평,서울특별시 영등포구 양산로 지하21(양평동2가)
영등포구청,서울특별시 영등포구 양산로 지하116(당산동3가)
영등포시장,서울특별시 영등포구 양산로 지하200(영등포동5가)
신길,서울특별시 영등포구 경인로114가길 지하9(영등포동1가)
여의도,서울특별시 영등포구 여의나루로 지하40(여의도동)
여의나루,서울특별시 영등포구 여의동로 지하343(여의도동)
마포,서울특별시 마포구 마포대로 지하33(도화동)
공덕,서울특별시 마포구 마포대로 지하100(공덕동)
애오개,서울특별시 마포구 마포대로 지하210(아현동)
충정로,서울특별시 서대문구 충정로 지하 28-1(충정로3가)
서대문,서울특별시 종로구 통일로 지하126(평동)
광화문,서울특별시 종로구 세종대로 지하172(세종로)
종로3가,서울특별시 종로구 돈화문로11길 지하 26(돈의동)
을지로4가,서울특별시 중구 창경궁로 지하51(주교동)
동대문역사문화공원,서울특별시 중구 마른내로 지하162(광희동1가)
청구,서울특별시 중구 청구로 지하77(신당동)
신금호,서울특별시 성동구 금호로 지하154(금호동2가)
행당,서울특별시 성동구 행당로 지하89(행당동)
왕십리,서울특별시 성동구 왕십리로 지하300(행당동)
마장,서울특별시 성동구 마장로 지하296(마장동)
답십리,서울특별시 성동구 천호대로 지하300(용답동)
장한평,서울특별시 동대문구 천호대로 지하405(장안동)
군자,서울특별시 광진구 천호대로 지하550(능동)
아차산,서울특별시 광진구 천호대로 지하657(능동)
광나루,서울특별시 광진구 아차산로 지하571(광장동)
천호,서울특별시 강동구 천호대로 지하997(천호동)
강동,서울특별시 강동구 천호대로 지하1097(천호동)
길동,서울특별시 강동구 양재대로 지하1480(길동)
굽은다리,서울특별시 강동구 양재대로 지하1572(명일동)
명일,서울특별시 강동구 양재대로 지하1632(명일동)
고덕,서울특별시 강동구 고덕로 지하253(고덕동)
상일동,서울특별시 강동구 고덕로 지하359(상일동)
둔촌동,서울특별시 강동구 양재대로 지하1369(둔촌동)
올림픽공원,서울특별시 송파구 양재대로 지하1233(방이동)
방이,서울특별시 송파구 양재대로 지하1127(방이동)
오금,서울특별시 송파구 오금로 지하321(오금동)
개롱,서울특별시 송파구 오금로 지하402(가락동)
거여,서울특별시 송파구 오금로 지하499(거여동)
마천,서울특별시 송파구 마천로57길 지하7(마천동)
강일,서울특별시 강동구 고덕로 지하456(강일동)
미사,경기도 하남시 미사강변동로 지하90(망월동)
하남풍산,경기도 하남시 덕풍서로 지하50(덕풍동)
하남시청,경기도 하남시 하남대로 지하820(덕풍동)
하남검단산,경기도 하남시 대청로 지하100(창우동)
응암,서울특별시 은평구 증산로 지하477(신사동)
역촌,서울특별시 은평구 서오릉로 지하63(녹번동)
불광,서울특별시 은평구 통일로 지하723-1(대조동)
독바위,서울특별시 은평구 불광로 지하129-1(불광동)
연신내,서울특별시 은평구 통일로 지하849(갈현동)
구산,서울특별시 은평구 연서로 지하137-1(구산동)
새절,서울특별시 은평구 증산로 지하400(신사동)
