지하철역,도로명주소,lat,lng
상현,경기도 용인시 수지구 광교중앙로 지하312,37.2977241059874,127.069328812487
광교중앙,경기도 수원시 영통구 도청로 지하45,37.2882586215078,127.051898779769
광교,경기도 수원시 영통구 대학로 55 신분당선 광교역,37.3020495470706,127.043123295545
샛강,서울시 영등포구 여의도동 56,37.5175286381865,126.930460204563
대방,서울시 영등포구 신길동 1376-1,37.5128688879851,126.925248506022
서울지방병무청,서울시 동작구 대방동 466-41,37.5057661785548,126.922726823845
보라매,서울시 동작구 대방동 466-49,37.5008205922635,126.920735867544
보라매공원,서울시 동작구 신대방동 722,37.4930838003695,126.919756524074
보라매병원,서울시 동작구 신대방동 425,37.4938896313487,126.924073975494
당곡,서울시 관악구 봉천동 985,37.4898907244889,126.927718112844
신림,서울시 관악구 신림동 1467-10,37.4841196518392,126.928712092948
서원,서울시 관악구 신림동 808-717,37.478259985687,126.933262205033
서울대벤처타운,서울시 관악구 신림동 110-99,37.4720905385625,126.933969602866
관악산,서울시 관악구 신림동 211-10,37.4687413067708,126.945653230284
인천국제공항,인천시 중구 공항로 271,37.4476109663729,126.452346738588
장기주차장,인천시 중구 공항로 271,37.4476109663729,126.452346738588
합동청사,인천시 중구 공항로 271,37.4476109663729,126.452346738588
파라다이스시티,인천시 중구 공항로 271,37.4476109663729,126.452346738588
워터파크,인천시 중구 공항로 271,37.4476109663729,126.452346738588
용유,인천시 중구 용유로 44,37.4321580009205,126.435243768844
양촌,경기 김포시 양촌읍 양촌역길 107,37.6416469973805,126.614793553937
구래,경기 김포시 김포한강7로 87,37.6452553945244,126.627981065827
마산,경기 김포시 김포한강3로 지하 442,37.640613168476,126.643737875864
장기,경기 김포시 김포한강1로 지하 59,37.644065302097,126.669052675
운양,경기 김포시 김포한강1로 지하 235,37.6537956778485,126.68385988844
걸포북변,경기 김포시 김포대로 지하 1040,37.6316467321152,126.705788039036
사우,경기 김포시 김포대로 지하 852,37.6203135033656,126.719808225784
풍무,경기 김포시 김포대로 지하 710,37.6124453553725,126.732415765284
고촌,경기 김포시 고촌읍 김포대로 지하 350,37.6013491365863,126.770297445655
별내별가람,경기도 남양주시 별내3로 지하 345,37.6678114479229,127.11604506255
오남,경기도 남양주시 오남읍 진건오남로 지하 929,37.70522361112,127.19110731941
진접,경기도 남양주시 진접읍 경복대로 지하 244,37.7196084023819,127.203253816017
청량리,서울특별시 동대문구 왕산로 지하205(전농동),37.5802331563072,127.045085886324
제기동,서울특별시 동대문구 왕산로 지하93(제기동),37.5781967284885,127.034690599752
동묘앞,서울특별시 종로구 종로 359(숭인동),37.5733722075697,127.01675118037
동대문,서울특별시 종로구 종로 지하302(창신동),37.5717775660734,127.011167102297
종로5가,서울특별시 종로구 종로 지하216(종로5가),37.5709075371016,127.001916647342
종로3가,서울특별시 종로구 종로 지하129(종로3가),37.5704266025836,126.99202930223
종각,서울특별시 종로구 종로 지하55(종로1가),37.5702140381269,126.983239678933
시청,서울특별시 중구 세종대로 지하101(정동),37.5654385176408,126.976983237511
을지로입구,서울특별시 중구 을지로 지하42(을지로1가),37.5660509513873,126.982372901787
을지로3가,서울특별시 중구 을지로 지하106(을지로3가),37.56626594615,126.990308356253
