사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202101,1호선,세마,43378,40259,37.1869917898194,127.043062518202
202101,1호선,소사,161616,153496,37.4824529147477,126.796018552602
202101,1호선,소요산,37756,32116,37.947953996357,127.061213156402
202101,1호선,송내,481602,482116,37.4876747409104,126.752771844443
202101,1호선,송탄,66194,63344,37.0752833781957,127.054299835138
202101,1호선,수원,533303,567660,37.2656768667795,127.000096053009
202101,1호선,시청,367905,360739,37.5654385176408,126.976983237511
202101,1호선,신길,164047,137528,37.5176677017212,126.914336937521
202101,1호선,신도림,68097,67406,37.5087701449787,126.891080501385
202101,1호선,신설동,242779,238892,37.5762451837487,127.023278761358
202101,1호선,신이문,150928,141926,37.604278644666,127.069577322142
202101,1호선,신창,15260,14779,36.7694848050308,126.949921514343
202101,1호선,쌍용,30208,28246,36.793655090373,127.121594290099
202101,1호선,아산,43723,40271,36.7920474174232,127.104115243093
202101,1호선,안양,360850,365273,37.4014349994721,126.92300270344
202101,1호선,양주,122186,116821,37.7736548042753,127.044790945301
202101,1호선,역곡,471621,474147,37.4852888314378,126.811871466794
202101,1호선,영등포,622656,640597,37.5156680341198,126.907665995469
202101,1호선,오류동,205382,198363,37.494359185399,126.844600701673
202101,1호선,오산,156170,155998,37.1458951784684,127.066844907861
202101,1호선,오산대,51269,46439,37.1693006160923,127.063064763281
202101,1호선,옥수,788,562,37.5409877747326,127.018965435917
202101,1호선,온수,110093,109561,37.4921502838112,126.823380714316
202101,1호선,온양온천,56852,56773,36.7804682813951,127.003451110541
202101,1호선,왕십리,218425,250136,37.5612217415191,127.036655378283
202101,1호선,외대앞,119661,120935,37.5954136758127,127.063058800869
202101,1호선,용산,511793,517694,37.5297718014452,126.964741503485
202101,1호선,월계,104066,100239,37.6321089404669,127.058729394991
202101,1호선,응봉,30931,26861,37.5504482266748,127.034927944532
202101,1호선,의왕,154715,155240,37.3211117738404,126.948383028902
202101,1호선,의정부,300817,305728,37.7379901517646,127.045879450143
202101,1호선,이촌,64556,50486,37.522520254623,126.973683151228
202101,1호선,인천,51086,37123,37.4765938446837,126.617089760956
202101,1호선,제기동,305145,312697,37.5781967284885,127.034690599752
202101,1호선,제물포,172074,165179,37.466803102521,126.656869633392
202101,1호선,종각,591385,561228,37.5702140381269,126.983239678933
202101,1호선,종로3가,391446,355298,37.5704266025836,126.99202930223
202101,1호선,종로5가,382717,374431,37.5709075371016,127.001916647342
202101,1호선,주안,317488,291839,37.464767076602,126.679517004054
202101,1호선,중동,158172,151274,37.4866184306426,126.764292213307
202101,1호선,지제,47226,44286,37.0187847572567,127.070485287852
202101,1호선,지행,100988,100122,37.8918774567748,127.055664161171
202101,1호선,직산,11976,12059,36.8713897700414,127.143691456107
202101,1호선,진위,27709,23828,37.1099375555493,127.062366903315
202101,1호선,창동,6,0,37.6532174818989,127.047714954434
202101,1호선,천안,74151,76577,36.8123208138282,127.146822493854
202101,1호선,청량리,586064,603369,37.5802331563072,127.045085886324
202101,1호선,평택,180581,176163,36.9918974768998,127.083288658126
202101,1호선,한남,74320,69526,37.5291881521046,127.008249820572
202101,1호선,화서,127720,125252,37.2848936747156,126.989199634131
202101,1호선,회룡,210209,211553,37.7244219058017,127.047218627472
202102,1호선,가능,109509,106341,37.7483685951812,127.044220735748
202102,1호선,가산디지털단지,315368,367937,37.4815957375443,126.882559483336
202102,1호선,간석,100712,96628,37.4646879052409,126.693451172704
202102,1호선,개봉,376406,391532,37.4945222528654,126.859102583368
202102,1호선,관악,125344,117201,37.4188017578979,126.909121118476
202102,1호선,광명,54222,47675,37.4163635638303,126.884877197434
