관광지명,도로명주소,lat,lng,분류,Unnamed: 0
다도박물관,경기도 김포시 월곶면 애기봉로275번길 187-49,37.7375369409,126.5744440771,문화,
물테마박물관,경기도 군포시 수리산로 151,37.3625317909,126.9176790883,문화,
닻미술관,경기도 광주시 초월읍 진새골길 184,37.3803432864,127.2711197221,문화,
충현박물관,경기도 광명시 오리로 347번길 5-5,37.4333375881,126.8783815106,문화,
아해박물관,경기도 과천시 추사로 133,37.4576264724,127.0299991422,문화,
렛츠런파크서울말박물관,경기도 과천시 경마공원대로 107,37.4430912297,127.0175191267,문화,
경기도어린이박물관,경기도 용인시 기흥구 상갈로 6,37.2667987372,127.1076441891,문화,
예아리박물관,경기도 용인시 처인구 백암면 원설로270번길 25,37.1413267535,127.3642625596,문화,
지도박물관,경기도 수원시 영통구 월드컵길 92,37.2761588727,127.0551444455,문화,
파주교육박물관,경기도 파주시 파주읍 우계로53번길 15,37.8321467534,126.8159585702,문화,
두루뫼박물관,경기도 파주시 법원읍 초리골길 278 두루뫼박물관,37.85680263,126.8960430168,문화,
재미있는 추억박물관,경기도 파주시 탄현면 헤이리마을길 93-148,37.7908993248,126.6981533484,문화,
한국근현대사박물관,경기도 파주시 헤이리마을길 59-85,37.7908700241,126.6951780238,문화,
만화박물관,경기도 부천시 원미구 길주로 1,37.5086718515,126.7437361036,문화,
추사박물관,경기도 과천시 추사로 78,37.4526368223,127.0287188404,문화,
단국대학교 석주선기념박물관,경기도 용인시 수지구 죽전로 152,37.3197960132,127.131442651,문화,
얼굴박물관,경기도 광주시 남종면 분원길 3-6,37.4939543115,127.302052687,문화,
수원농수산물유통센터,경기도 수원시 권선구 서부로 1937 농협하나로클럽,37.2830135834,126.966696358,문화,
포천문화원,경기도 포천시 중앙로 34번길 8,37.8904660485,127.1982753991,문화,
북부문화예술회관,경기도 평택시 경기도대로 1366,37.0665995289,127.0649540068,문화,
평택호예술관,경기도 평택시 현덕면 평택호길 159 평택관광단지 내,36.9214457112,126.9222275949,문화,
예맥아트홀,경기도 파주시 탄현면 법흥리 1652-506,37.7883218959,126.7021788732,문화,
이천문화원,경기도 이천시 향교로 142,37.2837007457,127.4527889302,문화,
